Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/Mac OS/MS2/20190617 hisRFP, nosMCPGFP, m5m8peveMS2lacZ/	20190617 hisRFP, nosMCPGFP, m5m8peveMS2lacZ 1.lif	_3D/	246	29	12	15	0.36	1	40	m5m8peve	3	2	1,0	1	1	247	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190617 hisRFP, nosMCPGFP, m5m8peveMS2lacZ/	20190617 hisRFP, nosMCPGFP, m5m8peveMS2lacZ 2.lif	_3D/	332	29	12	15	0.36	1	0	m5m8peve	4	2	0,1	1	85	333	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190624 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII/	20190624 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII 1.lif	_3D/	268	33	12	20	0.36	2	0	m5m8peveIII	4	2	0,1	1	72	269	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190624 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII/	20190624 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII 2.lif	_3D/	210	33	12	20	0.36	2	0	m5m8peveIII	5	2	1,1	1	24	211	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190625 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII/	20190625 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII.lif	_3D/	328	33	12	20	0.36	2	0	m5m8peveIII	6	2	1,0	1	140	329	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190625 hisRFP, nosMCPGFP, vndEEEpeveMS2lacZ/	20190625 hisRFP, nosMCPGFP, vndEEEpeveMS2lacZ 1.lif	_3D/	370	29	12	15	0.36	1	0	vndEEEpeve	1	2	0,0	1	95	371	0	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190625 hisRFP, nosMCPGFP, vndEEEpeveMS2lacZ/	20190625 hisRFP, nosMCPGFP, vndEEEpeveMS2lacZ 2.lif	_3D/	334	29	12	15	0.36	1	0	vndEEEpeve	2	2	1,1	1	1	335	0	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190625 hisRFP, nosMCPGFP, vndEEEpeveMS2lacZ/	20190625 hisRFP, nosMCPGFP, vndEEEpeveMS2lacZ 5.lif	_3D/	430	29	12	15	0.36	1	0	vndEEEpeve	4	2	1,1	1	140	431	0	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190627 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII/	20190627 hisRFP, nosMCPGFP, m5m8peveMS2lacZIII.lif	_3D/	276	33	12	20	0.36	2	0	m5m8peveIII	7	2	1,0	1	70	277	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190701 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog/	20190701 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog 1.lif	_3D/	422	29	12	15	0.36	1	0	m5m8peve Fog:+	6	2	0,0	1	70	423	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190701 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog/	20190701 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog 2.lif	_3D/	384	29	12	15	0.36	1	0	m5m8peve Fog:+	7	2	0,1	1	70	385	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190722 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog/	20190722 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog 1.lif	_3D/	354	29	12	15	0.36	1	0	m5m8peve Fog:+	8	2	1,0	1	90	355	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190722 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog/	20190722 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog 2.lif	_3D/	330	29	12	15	0.36	1	0	m5m8peve Fog:+	9	2	0,1	1	40	331	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190724 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog/	20190724 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, Fog:+.lif	_3D/	237	29	12	15	0.36	1	0	m5m8peve Fog:+	10	2	0,1	1	1	238	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
